Trial,Reward,Strategy
650,0,EpsilonGreedy
651,0,EpsilonGreedy
652,0,EpsilonGreedy
653,0,EpsilonGreedy
654,0,EpsilonGreedy
655,0,EpsilonGreedy
656,0,EpsilonGreedy
657,0,EpsilonGreedy
658,0,EpsilonGreedy
659,0,EpsilonGreedy
660,0,EpsilonGreedy
661,1,EpsilonGreedy
662,0,EpsilonGreedy
663,0,EpsilonGreedy
664,1,EpsilonGreedy
665,0,EpsilonGreedy
666,0,EpsilonGreedy
667,0,EpsilonGreedy
668,0,EpsilonGreedy
669,0,EpsilonGreedy
670,0,EpsilonGreedy
671,0,EpsilonGreedy
672,0,EpsilonGreedy
673,1,EpsilonGreedy
674,0,EpsilonGreedy
675,1,EpsilonGreedy
676,1,EpsilonGreedy
677,1,EpsilonGreedy
678,0,EpsilonGreedy
679,0,EpsilonGreedy
680,1,EpsilonGreedy
681,1,EpsilonGreedy
682,0,EpsilonGreedy
683,0,EpsilonGreedy
684,0,EpsilonGreedy
685,0,EpsilonGreedy
686,0,EpsilonGreedy
687,0,EpsilonGreedy
688,0,EpsilonGreedy
689,0,EpsilonGreedy
690,1,EpsilonGreedy
691,0,EpsilonGreedy
692,0,EpsilonGreedy
693,1,EpsilonGreedy
694,0,EpsilonGreedy
695,0,EpsilonGreedy
696,1,EpsilonGreedy
697,1,EpsilonGreedy
698,0,EpsilonGreedy
699,0,EpsilonGreedy
700,0,EpsilonGreedy
701,1,EpsilonGreedy
702,0,EpsilonGreedy
703,0,EpsilonGreedy
704,0,EpsilonGreedy
705,0,EpsilonGreedy
706,0,EpsilonGreedy
707,1,EpsilonGreedy
708,1,EpsilonGreedy
709,0,EpsilonGreedy
710,0,EpsilonGreedy
711,0,EpsilonGreedy
712,1,EpsilonGreedy
713,1,EpsilonGreedy
714,1,EpsilonGreedy
715,0,EpsilonGreedy
716,1,EpsilonGreedy
717,0,EpsilonGreedy
718,0,EpsilonGreedy
719,0,EpsilonGreedy
720,0,EpsilonGreedy
721,0,EpsilonGreedy
722,0,EpsilonGreedy
723,0,EpsilonGreedy
724,1,EpsilonGreedy
725,1,EpsilonGreedy
726,0,EpsilonGreedy
727,1,EpsilonGreedy
728,1,EpsilonGreedy
729,1,EpsilonGreedy
730,0,EpsilonGreedy
731,1,EpsilonGreedy
732,0,EpsilonGreedy
733,1,EpsilonGreedy
734,1,EpsilonGreedy
735,0,EpsilonGreedy
736,0,EpsilonGreedy
737,0,EpsilonGreedy
738,1,EpsilonGreedy
739,0,EpsilonGreedy
740,0,EpsilonGreedy
741,0,EpsilonGreedy
742,0,EpsilonGreedy
743,0,EpsilonGreedy
744,0,EpsilonGreedy
745,0,EpsilonGreedy
746,1,EpsilonGreedy
747,1,EpsilonGreedy
748,0,EpsilonGreedy
749,0,EpsilonGreedy
750,1,EpsilonGreedy
751,0,EpsilonGreedy
752,1,EpsilonGreedy
753,0,EpsilonGreedy
754,1,EpsilonGreedy
755,0,EpsilonGreedy
756,0,EpsilonGreedy
757,1,EpsilonGreedy
758,0,EpsilonGreedy
759,0,EpsilonGreedy
760,1,EpsilonGreedy
761,1,EpsilonGreedy
762,1,EpsilonGreedy
763,0,EpsilonGreedy
764,0,EpsilonGreedy
765,0,EpsilonGreedy
766,0,EpsilonGreedy
767,0,EpsilonGreedy
768,0,EpsilonGreedy
769,0,EpsilonGreedy
770,0,EpsilonGreedy
771,0,EpsilonGreedy
772,0,EpsilonGreedy
773,1,EpsilonGreedy
774,0,EpsilonGreedy
775,0,EpsilonGreedy
776,1,EpsilonGreedy
777,0,EpsilonGreedy
778,0,EpsilonGreedy
779,0,EpsilonGreedy
780,1,EpsilonGreedy
781,0,EpsilonGreedy
782,0,EpsilonGreedy
783,0,EpsilonGreedy
784,1,EpsilonGreedy
785,1,EpsilonGreedy
786,0,EpsilonGreedy
787,1,EpsilonGreedy
788,0,EpsilonGreedy
789,1,EpsilonGreedy
790,1,EpsilonGreedy
791,0,EpsilonGreedy
792,0,EpsilonGreedy
793,0,EpsilonGreedy
794,0,EpsilonGreedy
795,0,EpsilonGreedy
796,0,EpsilonGreedy
797,0,EpsilonGreedy
798,0,EpsilonGreedy
799,0,EpsilonGreedy
800,0,EpsilonGreedy
801,0,EpsilonGreedy
802,1,EpsilonGreedy
803,0,EpsilonGreedy
804,0,EpsilonGreedy
805,0,EpsilonGreedy
806,1,EpsilonGreedy
807,1,EpsilonGreedy
808,1,EpsilonGreedy
809,0,EpsilonGreedy
810,1,EpsilonGreedy
811,0,EpsilonGreedy
812,1,EpsilonGreedy
813,0,EpsilonGreedy
814,0,EpsilonGreedy
815,0,EpsilonGreedy
816,0,EpsilonGreedy
817,0,EpsilonGreedy
818,1,EpsilonGreedy
819,0,EpsilonGreedy
820,0,EpsilonGreedy
821,0,EpsilonGreedy
822,1,EpsilonGreedy
823,1,EpsilonGreedy
824,0,EpsilonGreedy
825,0,EpsilonGreedy
826,0,EpsilonGreedy
827,0,EpsilonGreedy
828,0,EpsilonGreedy
829,0,EpsilonGreedy
830,0,EpsilonGreedy
831,0,EpsilonGreedy
832,0,EpsilonGreedy
833,1,EpsilonGreedy
834,1,EpsilonGreedy
835,0,EpsilonGreedy
836,0,EpsilonGreedy
837,1,EpsilonGreedy
838,0,EpsilonGreedy
839,1,EpsilonGreedy
840,0,EpsilonGreedy
841,0,EpsilonGreedy
842,1,EpsilonGreedy
843,0,EpsilonGreedy
844,0,EpsilonGreedy
845,0,EpsilonGreedy
846,1,EpsilonGreedy
847,0,EpsilonGreedy
848,1,EpsilonGreedy
849,0,EpsilonGreedy
850,0,EpsilonGreedy
851,1,EpsilonGreedy
852,0,EpsilonGreedy
853,0,EpsilonGreedy
854,1,EpsilonGreedy
855,0,EpsilonGreedy
856,1,EpsilonGreedy
857,1,EpsilonGreedy
858,0,EpsilonGreedy
859,0,EpsilonGreedy
860,1,EpsilonGreedy
861,0,EpsilonGreedy
862,1,EpsilonGreedy
863,1,EpsilonGreedy
864,0,EpsilonGreedy
865,0,EpsilonGreedy
866,0,EpsilonGreedy
867,0,EpsilonGreedy
868,0,EpsilonGreedy
869,0,EpsilonGreedy
870,1,EpsilonGreedy
871,0,EpsilonGreedy
872,0,EpsilonGreedy
873,0,EpsilonGreedy
874,1,EpsilonGreedy
875,0,EpsilonGreedy
876,1,EpsilonGreedy
877,0,EpsilonGreedy
878,0,EpsilonGreedy
879,0,EpsilonGreedy
880,1,EpsilonGreedy
881,0,EpsilonGreedy
882,0,EpsilonGreedy
883,1,EpsilonGreedy
884,0,EpsilonGreedy
885,0,EpsilonGreedy
886,0,EpsilonGreedy
887,0,EpsilonGreedy
888,0,EpsilonGreedy
889,0,EpsilonGreedy
890,1,EpsilonGreedy
891,0,EpsilonGreedy
892,1,EpsilonGreedy
893,1,EpsilonGreedy
894,0,EpsilonGreedy
895,1,EpsilonGreedy
896,0,EpsilonGreedy
897,1,EpsilonGreedy
898,1,EpsilonGreedy
899,0,EpsilonGreedy
900,0,EpsilonGreedy
901,1,EpsilonGreedy
902,0,EpsilonGreedy
903,0,EpsilonGreedy
904,0,EpsilonGreedy
905,0,EpsilonGreedy
906,1,EpsilonGreedy
907,0,EpsilonGreedy
908,1,EpsilonGreedy
909,1,EpsilonGreedy
910,0,EpsilonGreedy
911,0,EpsilonGreedy
912,0,EpsilonGreedy
913,0,EpsilonGreedy
914,0,EpsilonGreedy
915,0,EpsilonGreedy
916,0,EpsilonGreedy
917,0,EpsilonGreedy
918,0,EpsilonGreedy
919,1,EpsilonGreedy
920,0,EpsilonGreedy
921,1,EpsilonGreedy
922,1,EpsilonGreedy
923,0,EpsilonGreedy
924,0,EpsilonGreedy
925,1,EpsilonGreedy
926,0,EpsilonGreedy
927,0,EpsilonGreedy
928,0,EpsilonGreedy
929,0,EpsilonGreedy
930,0,EpsilonGreedy
931,0,EpsilonGreedy
932,1,EpsilonGreedy
933,0,EpsilonGreedy
934,1,EpsilonGreedy
935,0,EpsilonGreedy
936,1,EpsilonGreedy
937,0,EpsilonGreedy
938,0,EpsilonGreedy
939,0,EpsilonGreedy
940,0,EpsilonGreedy
941,0,EpsilonGreedy
942,0,EpsilonGreedy
943,1,EpsilonGreedy
944,1,EpsilonGreedy
945,1,EpsilonGreedy
946,0,EpsilonGreedy
947,1,EpsilonGreedy
948,1,EpsilonGreedy
949,1,EpsilonGreedy
950,0,EpsilonGreedy
951,1,EpsilonGreedy
952,1,EpsilonGreedy
953,0,EpsilonGreedy
954,0,EpsilonGreedy
955,0,EpsilonGreedy
956,1,EpsilonGreedy
957,0,EpsilonGreedy
958,1,EpsilonGreedy
959,0,EpsilonGreedy
960,0,EpsilonGreedy
961,0,EpsilonGreedy
962,0,EpsilonGreedy
963,1,EpsilonGreedy
964,0,EpsilonGreedy
965,0,EpsilonGreedy
966,0,EpsilonGreedy
967,1,EpsilonGreedy
968,0,EpsilonGreedy
969,0,EpsilonGreedy
970,0,EpsilonGreedy
971,0,EpsilonGreedy
972,1,EpsilonGreedy
973,1,EpsilonGreedy
974,0,EpsilonGreedy
975,0,EpsilonGreedy
976,1,EpsilonGreedy
977,1,EpsilonGreedy
978,0,EpsilonGreedy
979,0,EpsilonGreedy
980,0,EpsilonGreedy
981,0,EpsilonGreedy
982,0,EpsilonGreedy
983,0,EpsilonGreedy
984,0,EpsilonGreedy
985,1,EpsilonGreedy
986,0,EpsilonGreedy
987,0,EpsilonGreedy
988,1,EpsilonGreedy
989,1,EpsilonGreedy
990,0,EpsilonGreedy
991,0,EpsilonGreedy
